"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "XML", "Prisma", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/milek/Desktop/projekty/shortie/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"/Users/milek/Desktop/projekty/shortie/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 16, 145
"/Users/milek/Desktop/projekty/shortie/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 11, 119
"/Users/milek/Desktop/projekty/shortie/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 13, 128
"/Users/milek/Desktop/projekty/shortie/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"/Users/milek/Desktop/projekty/shortie/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"/Users/milek/Desktop/projekty/shortie/components/ui/use-toast.ts", "TypeScript", 0, 0, 0, 159, 0, 0, 0, 0, 0, 3, 31, 193
"/Users/milek/Desktop/projekty/shortie/constants/navigation.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/milek/Desktop/projekty/shortie/constants/test-table.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"/Users/milek/Desktop/projekty/shortie/hooks/use-last-created-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/milek/Desktop/projekty/shortie/hooks/use-modal-store.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 5, 34
"/Users/milek/Desktop/projekty/shortie/hooks/use-origin.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/milek/Desktop/projekty/shortie/lib/current-profile.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"/Users/milek/Desktop/projekty/shortie/lib/db.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/milek/Desktop/projekty/shortie/lib/format-date.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/milek/Desktop/projekty/shortie/lib/generate-short-value.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/milek/Desktop/projekty/shortie/lib/initial-profile.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 8, 33
"/Users/milek/Desktop/projekty/shortie/lib/sortClicksByDay.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 8, 42
"/Users/milek/Desktop/projekty/shortie/lib/utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/milek/Desktop/projekty/shortie/middleware.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 3, 11
"/Users/milek/Desktop/projekty/shortie/next.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/milek/Desktop/projekty/shortie/package-lock.json", "JSON", 6245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6246
